Tournament Name,Start Date,End Date,Prize Pool,Location,Number of Teams,Winner,Runner-Up,Game,Viewers (Twitch),Viewers (Youtube)
Blast Premier Fall Final 2024,25-09-2024,29-09-2024,"$425,000",Copenhagen,8,TBD,TBD,Counter Strike Global Offensive,4120345,17259426
intel Extreme Masters Cologne 2024,07-08-2024,18-08-2024,"$1,000,000",Cologne,24,Vitality,NAVI,Counter Strike Global Offensive,654332,12878079
Blast Premier Fall Group 2024,29-07-2024,04-08-2024,"$190,000",Copenhagen,16,G2,Spirit,Counter Strike Global Offensive,123422,11004269
PGL Major Copenhagen 2024,17-03-2024,31-03-2024,"$1,250,000",Copenhagen,24,NAVI,FaZe,Counter Strike Global Offensive,3592794,12878867
intel Extreme Masters Katowice 2024,31-01-2024,11-02-2024,"$1,000,000",Katowice,24,Spirit,FaZe,Counter Strike Global Offensive,24879116,12510498
Blast Premier Spring Group 2024,22-01-2024,28-01-2024,"$190,000",Copenhagen,16,FaZe,NAVI,Counter Strike Global Offensive,912093,16677966
Blast Premier Fall Final 2023,13-12-2023,17-12-2023,"$425,000",Copenhagen,8,Vitality,FaZe,Counter Strike Global Offensive,739682,9679060
 Thunderpick World Championship 2023,28-10-2023,05-11-2023,"$500,000",Cologne,16,FaZe,VP,Counter Strike Global Offensive,8598,52764
Roobet Cup 2023,25-10-2023,05-11-2023,"$250,000",Cologne,16,VP,Monte,Counter Strike Global Offensive,42041,442611
Intel Extreme Masters Cologne 2023,26-07-2023,06-08-2023,"$1,000,000",Cologne,24,G2,ENCE,Counter Strike Global Offensive,20897592,18018357
BLAST.tv Paris Major 2023,08-05-2023,21-05-2023,"$1,250,000",Paris,24,Vitality,GL,Counter Strike Global Offensive,109850,10790585
Intel Extreme Masters Katowice 2023,01-02-2023,12-02-2023,"$1,000,000",Katowice,24,G2,Heroic,Counter Strike Global Offensive,26845618,8695527
BLAST Premier Spring Groups 2023,19-01-2023,29-01-2023,"$177,500",Copenhagen,12,FaZe,G2,Counter Strike Global Offensive,48739,12729213
World Championship 2024 ,25-09-2024,02-11-2024,"$1,000,000", London,20,TBD,TBD,League of Legends,782400,7489429
LEC  Season Finals 2024,10-08-2024,01-09-2024,"$172,664.98", Berlin,6,G2,FNC,League of Legends,6387300,9499781
LPLOL Split 2 2024,23-05-2024,20-07-2024,"$10,791.56",Lisbon,8,GTZ,EGN,League of Legends,654312,594642
Premier League Summer 2024,22-05-2024,03-08-2024,"$21,583.12",Berlin,10,USE,S04,League of Legends,542567,54506626
Superliga Summer 2024,22-05-2024,03-08-2024,"$21,583.12",Barcelona,10,HRTS,BAR,League of Legends,86988,108351329
Equal eSports Cup 2024,01-05-2024,25-08-2024,"$10,791.56",Cologne,10,NNOwO,G2H,League of Legends,340897,38314512
EMEA Masters Spring 2024,15-04-2024,28-04-2024,"$80,269.71",Cologne,28,EINS,BJK,League of Legends,91008,636617
LEC Spring 2024,09-03-2024,14-04-2024,"$85,365.2", Berlin,10,G2,FNC,League of Legends,7608955,15409618
Prime League Summer 2024,17-01-2024,12-04-2024,"$21,447.84",Berlin,10,EINS,SKP,League of Legends,858907,22030872
LEC Winter 2024,13-01-2024,18-02-2024,"$86,220.83", Berlin,10,G2,MDK,League of Legends,12750989,12477618
LPLOL Rift 2023,08-11-2023,25-11-2023,"$3,832.24",Lisbon,16,GTZ,BWE,League of Legends,45643,114401
Iberian Cup 2023,28-10-2023,10-11-2023,"$21,329.92",Barcelona,32,HRTS,KOIA,League of Legends,467898,5189484
LEC Season Finals 2023,19-08-2023,10-09-2023,"$171,294.84", Berlin,6,G2,FNC,League of Legends,7717326,6776931
LEC Summer 2023,17-06-2023,30-07-2023,"$88,191.68", Berlin,10,G2,XL,League of Legends,10085915,13099792
LEC Summer 2024,08-06-2023,28-09-2024,"$86,332.49", Berlin,10,G2,FNC,League of Legends,8429856,12860833
Mid Season Invitational 2023,02-05-2023,21-05-2023,"$250,000", London,13,JDG,BLG,League of Legends,1725592,5043599
EMEA Masters Spring 2023,04-04-2023,29-04-2023,"$166,983.75",Cologne,28,IW,USE,League of Legends,722839,248479
LEC Spring 2023,11-03-2023,23-04-2023,"$87,935.28", Berlin,10,MAD,BDS,League of Legends,9488803,3768064
LEC Winter 2023,21-01-2023,26-02-2023,"$84,379.02", Berlin,10,G2,MAD,League of Legends,14799078,3455641
LEC Season Kickoff 2023,01-01-2023,14-02-2023,"$250,870", Berlin,2,DYTY,LGCY,League of Legends,304312,7763947
