Tournament,Total Views,Total Likes,Total Comments
2024 World Championship,7489429,115701,8344
LEC Season Finals 2024,9499781,93033,4838
LEC Summer 2024,12860833,93590,2628
LEC Spring 2024,15409618,136987,3554
LEC Winter 2024,12477618,148721,4458
LEC Season Finals 2023,6776931,86004,3604
LEC Summer 2023,13099792,218981,7723
Mid Season Invitational 2023,5043599,102279,2912
LEC Spring 2023,3768064,99492,4944
LEC Winter 2023,3455641,103494,6336
LEC Season Kickoff 2023,7763947,184720,3322
EMEA Masters Spring 2024,636617,10861,696
EMEA Masters Spring 2023,248479,3283,108
Equal eSports Cup 2024,38314512,469289,20032
Premier League Summer 2024,54506626,1387252,20832
Superliga Summer 2024,108351329,3152778,46450
LPLOL Split 2 2024,594642,9828,1180
Prime League Summer 2024,22030872,889364,10053
LPLOL Rift 2023,114401,3245,54
Iberian Cup 2023,5189484,5509,3350
Blast Premier Fall Final 2024,17259426,181134,4458
intel Extreme Masters Cologne 2024,12878079,142160,4045
Blast Premier Fall Group 2024,11004269,115105,3075
PGL Major Copenhagen 2024,12878867,198858,8991
intel Extreme Masters Katowice 2024,12510498,210876,9804
Blast Premier Spring Group 2024,16677966,209767,4284
Blast Premier Fall Final 2023,9679060,153646,2718
Thunderpick World Championship 2023,52764,1219,100
Roobet Cup 2023,442611,8109,458
Intel Extreme Masters Cologne 2023,18018357,291181,5623
BLAST.tv Paris Major 2023,10790585,256519,2906
Intel Extreme Masters Katowice 2023,8695527,124178,5103
BLAST Premier Spring Groups 2023,12729213,156750,1050
